id,latitude_deg,longitude_deg,local_code
6523,40.07080078,-74.93360138,00A
323361,38.704022,-101.473911,00AA
6524,59.94919968,-151.6959991,00AK
6525,34.8647995,-86.77030182,00AL
6526,35.6087,-91.254898,
322127,34.9428028,-97.8180194,00AS
6527,34.30559921,-112.1650009,00AZ
6528,35.3504982,-116.8880005,00CA
324424,39.427188,-121.763427,00CL
322658,32.7273736,-116.4597417,00CN
6529,40.622202,-104.344002,
6531,28.64550018,-82.21900177,00FA
6532,28.84659958,-82.34539795,00FD
6533,27.23089981,-80.96920013,00FL
6534,33.76750183,-84.06829834,00GA
6535,33.88420105,-84.73390198,00GE
6536,19.832715,-155.980233,00HI
6537,48.14530182,-116.2139969,00ID
322581,39.724028,-101.395994,00IG
6538,41.64450073,-87.12280273,00II
6539,41.97840118,-89.56040192,00IL
6540,41.51139832,-87.26059723,00IN
6541,40.02560043,-89.12290192,00IS
6542,38.72779846,-94.93049622,00KS
6543,37.40940094,-84.61969757,00KY
45437,30.191944,-90.980833,00LA
6544,39.66529846,-89.70559692,00LL
6545,30.13629913,-92.42939758,00LS
6546,38.75709915,-75.75379944,00MD
6547,43.94940186,-86.41670227,00MI
6548,46.29999924,-95.70030212,00MN
6549,37.20280075,-94.41239929,00MO
6550,48.537498,-109.705002,
6551,39.47320175,-75.18520355,00N
6552,36.08520126,-78.37139893,00NC
6553,40.52090073,-74.47460175,00NJ
321919,44.8118612,-73.3698057,00NK
6554,42.90010071,-77.49970245,00NY
6555,41.59090042,-84.14219666,00OH
6556,39.74530029,-84.18740082,00OI
328503,36.198598,-96.217693,00OK
6557,44.93289948,-123.1299973,00OR
6558,39.94889832,-75.74690247,00PA
45773,41.2995,-80.211111,00PN
6559,40.3778,-77.365303,
6560,44.18320084,-122.0889969,00S
6561,34.00939941,-80.26719666,00SC
330391,44.809158,-96.498897,00SD
6562,32.82690048,-97.30580139,00TA
6563,32.84759903,-97.1894989,00TE
6564,35.51589966,-85.95359802,00TN
6565,32.60760117,-97.24199677,00TS
6566,29.7377,-94.980201,
6567,37.247799,-112.821998,
6568,36.57600021,-78.9991684,00VA
6569,36.66329956,-80.49949646,00VI
6570,46.67350006,-117.4430008,00W
6571,47.17839813,-122.7720032,00WA
6572,44.3042984,-89.05010223,00WI
6573,46.25,-117.2490005,00WN
6574,38.82889938,-79.8660965,00WV
322300,42.840361,-106.224443,00WY
6575,33.03340149,-101.9339981,00XS
6576,62.9435997,-152.2700043,01A
6577,60.10587398,-149.446249,01AK
6578,32.94599915,-86.51390076,01AL
6579,34.04729843,-94.35489655,01AR
6580,34.60810089,-111.8649979,01AZ
6581,43.34170151,-85.77500153,01C
6582,34.36824059,-117.3700587,01CA
6583,38.79990005,-120.7340012,01CL
6584,34.03779984,-118.1539993,01CN
6585,39.24530029,-106.2460022,01CO
6586,41.62730026,-72.72750092,01CT
